1,The Foodie,food_describe,"Person, Food, Description, Organization, Type"
2,The Foodie,food_activity,"Person, Food, Action, Organization, Location, Tagged_Friends, Type, date, time"
3,The Foodie,food_sentiment,"Person, Food, Sentiment, Sentiment_Class, Type, date, time"
4,The Sports Fanatic,fanof,"Person, Athlete, Sport"
5,The Sports Fanatic,league,"Person, League, Sport"
6,The Sports Fanatic,supports,"Person, Team, Sport"
7,The Sports Fanatic,play,"Person, Sport"
8,The Sports Fanatic,shared_about,"Person, Subject, Frequency, Sport"
10,The Fangirl/Fanboy,describes,"Person, Description, FanOf, Type, Tagged_Friends, Location, Organization"
11,The Fangirl/Fanboy,activity,"Person, Action, FanOf, Type, Tagged_Friends, Location, Organization"
12,The Fangirl/Fanboy,sentiment,"Person, FanOf, Type, Sentiment"
13,The Fangirl/Fanboy,fandom,"Person, Fandom, FanOf, Type"
14,The Fangirl/Fanboy,shared_about,"Person, FanOf, Type, Tagged_Friends, Location, Organization"
15,The Fangirl/Fanboy,event,"Person, FanOf, Event, Action, Type, Tagged_Friends, Location, Organization"
16,The Gamer,Play,"Person, Game, Type"
17,The Gamer,Supports,"Person, Team, Game, Country"
18,The Gamer,Activity,"Person, Activity, Action, Game"
19,The Fangirl/Fanboy,fan_event,"Person, FanOf, Activity, Event, Location, Tagged_Friends, Type, Date, Time"
20,Likes,likes,"PAGE, PERSONA"
21,Events,events,"EVENT, RSVP, PERSONA"
